baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Ala	6251.98559315757	-1.14189666285488	0.410246418446495	-2.78344090651412	0.00537856593228627	0.00910218850079214
Arg	11968.7751649534	-0.0824292497665002	0.271619770936776	-0.303472937489837	0.761529468388292	0.833580190945195
Asn	4323.89579554829	1.01203625312836	0.243052972464025	4.16385055022585	3.12924982390905e-05	7.64927734733323e-05
Asp	9852.47907864253	-0.0887336305131748	0.342695107864674	-0.258928792611228	0.795690182265868	0.833580190945195
Cys	3033.10150699617	-0.201797954323153	0.181682271301255	-1.11071901995624	0.266689312685706	0.308798151530817
Gln	6751.70428676606	0.392864330547682	0.126611968564677	3.10290042087922	0.00191634109163014	0.00351329200132192
Glu	24272.9530371215	-2.11170756994938	0.554925616204932	-3.80538852106177	0.000141581772448223	0.000311479899386091
Gly	25998.7594436555	-1.31343357290053	0.178242080028395	-7.36881870258298	1.72146576419871e-13	9.46806170309288e-13
His	4143.34377598694	-0.832327623688726	0.154032208160915	-5.40359470026687	6.5318444845324e-08	2.39500964432855e-07
Ile	5082.73643854528	2.60477104394686	0.183491383358138	14.1956041546806	9.75421616875184e-46	2.14592755712541e-44
Leu	21527.2235335015	0.311144250630651	0.243753072032029	1.27647314569954	0.20178831383955	0.246630161359451
Lys	7177.0614759144	0.399222427530433	0.187132443004635	2.13336833058149	0.0328945228702431	0.0482453002096898
Met	1201.38829442756	2.21603515772751	0.215871684365045	10.2655202985313	1.00776247250636e-24	7.39025813171333e-24
Phe	1579.38864821994	0.858113733359592	0.454552864313419	1.8878194391223	0.0590501945912439	0.0764178988827862
Pro	7135.13569347652	0.0321412247143078	0.259168230478086	0.1240168390046	0.90130194239232	0.90130194239232
SeC	231.878033338915	-1.70408191859516	0.33475837801281	-5.09048325753911	3.57152107784386e-07	1.12247805303664e-06
Ser	16776.7922976899	-0.272682026336892	0.141045644567687	-1.93328923535837	0.0532005771576247	0.073150793591734
Thr	4765.72366830455	0.90142042786029	0.197327041593248	4.56815457517675	4.92037124583374e-06	1.35310209260428e-05
Trp	987.880458514231	-1.01290917400675	0.274184242512964	-3.6942647204055	0.000220523972865277	0.000441047945730555
Tyr	967.96503553681	0.659847308295602	0.250416275180015	2.63500168997108	0.00841368642483016	0.0132215072390188
Val	11974.7661670057	-0.870542690492148	0.122673964931428	-7.09639319947601	1.28054819442334e-12	5.6344120554627e-12
iMet	16840.3781808731	2.35971591227583	0.1952769375867	12.083945710323	1.28406670456489e-33	1.41247337502138e-32
