baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Ala	20139.650364069	0.373532013342405	0.35375609043843	1.05590270652151	0.291012667485977	0.529232358727358
Arg	27242.0184699347	0.173917122113125	0.230343475091534	0.755033855610684	0.450228668670816	0.660335380717197
Asn	5477.39682762702	-0.24286742258375	0.207011987579488	-1.17320463140085	0.24071375523206	0.529232358727358
Asp	20420.6834422127	-0.1065629274205	0.308051456745403	-0.345925737687946	0.729398525519502	0.838457283260645
Cys	6280.0661235849	-0.199888951492803	0.140171065052355	-1.4260357615043	0.153858019647588	0.471171598944663
Gln	11943.5388529498	-0.0234052771992548	0.172655345123511	-0.135560687000518	0.892168585712571	0.934652804079836
Glu	70543.7308656969	-0.387468968918445	0.730172428178889	-0.530654067402716	0.595658521302923	0.770852204039076
Gly	84174.820987967	0.265030990945771	0.159381224450492	1.66287460683988	0.0963375383714505	0.457219297715005
His	12103.7761903688	0.272385011742796	0.199122569155911	1.36792636262904	0.171335126888969	0.471171598944663
Ile	2785.47449598278	-0.172513225136977	0.170887409848673	-1.00951395594178	0.312728211975257	0.529232358727358
Leu	40537.735154218	0.0729643900621764	0.231140783547638	0.315670774072367	0.752252412140546	0.838457283260645
Lys	12423.8433376189	-0.0748243339817688	0.133034483722623	-0.56244314923473	0.573814127308596	0.770852204039076
Met	874.178967679599	0.00160107872748969	0.207580207361134	0.00771306064216539	0.993845929016092	0.993845929016092
Phe	2051.2452082265	-0.323621502738132	0.390043125777258	-0.82970697687143	0.406704475845003	0.63910703347072
Pro	12127.1810350399	-0.614019530443138	0.244026806647711	-2.51619704768569	0.0118628838133237	0.0869944812977071
SeC	760.071260129203	0.0828560065609784	0.273860158953937	0.302548595887271	0.762233893873314	0.838457283260645
Ser	41498.5911079592	0.24633577757629	0.151482172060135	1.6261700913458	0.10391347675341	0.457219297715005
Thr	7329.0678333481	0.174384543586224	0.155763636279122	1.11954592067775	0.262907311878859	0.529232358727358
Trp	3458.18948863516	0.639286138418883	0.212854231197595	3.00339878057404	0.00266982342583645	0.0293680576842009
Tyr	1224.0302206312	-0.783217647818053	0.260689318213128	-3.00441020440174	0.00266096293433888	0.0293680576842009
Val	33048.5511567697	0.096017158900978	0.0902020114561302	1.06446804623283	0.287116722348356	0.529232358727358
iMet	10530.5581120065	-0.228210029207234	0.156598807351554	-1.45729097856357	0.14503607603205	0.471171598944663
