baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Ala	6860.94683725187	-0.439852636722661	0.455890258131045	-0.964821311439882	0.334634319671497	0.669268639342994
Arg	12700.7139454579	0.0368271408076066	0.296073629280364	0.124385075756725	0.901010389399633	0.937647014029167
Asn	3944.78953191301	0.097669831740174	0.296580403647506	0.329319909673659	0.741913896918852	0.937647014029167
Asp	9136.19773972936	-0.2156846543879	0.389125019729501	-0.554281126764434	0.579386464605917	0.910464444380727
Cys	3106.72069930991	0.604706888128462	0.253027150410217	2.38988933459547	0.0168534502131579	0.102990936673391
Gln	6477.2683277	-0.0566395178932792	0.230854146612801	-0.24534763063311	0.806187274572319	0.937647014029167
Glu	22148.6477771563	0.473449906886318	0.572739700038346	0.826640630734379	0.408440780805039	0.748808098142572
Gly	28313.2895585883	-0.191489632807988	0.17400202760515	-1.10050230703358	0.271113324992699	0.596449314983938
His	4489.24013727435	-0.15249708750514	0.237361734109029	-0.642467026446192	0.520569992116468	0.880964602043254
Ile	4225.92295381822	-0.275521396099329	0.229476217901997	-1.20065337758441	0.229885686282564	0.561942788690712
Leu	21433.764317861	-0.0474743148859619	0.306396378907595	-0.154944112117851	0.87686537711676	0.937647014029167
Lys	6873.71922297515	0.0208567999244827	0.266616923686073	0.0782275919927742	0.937647014029167	0.937647014029167
Met	1311.01505218641	0.449755028262817	0.242963573357558	1.85112122795845	0.0641521148088976	0.220030700452362
Phe	1395.416303203	0.0974793492008316	0.484572045690893	0.201165853597369	0.840568890559247	0.937647014029167
Pro	6422.20379311713	0.620853339700281	0.287018227339014	2.16311467552531	0.0305323606315581	0.134342386778856
SeC	242.030797351308	-0.137753583229499	0.567779784445253	-0.242617977961456	0.808301352872387	0.937647014029167
Ser	18086.8394377881	-0.0389138018136544	0.197185924904161	-0.197345737696886	0.84355698953158	0.937647014029167
Thr	5319.34720490968	0.313464577806667	0.225255016738316	1.39159865269872	0.164043967089973	0.451120909497426
Trp	1159.04279148294	-0.808284600117267	0.303648945089858	-2.66190485159787	0.00776998387671045	0.0854698226438149
Tyr	823.635797117065	0.582428968396533	0.321455850350759	1.81184746757918	0.0700097683257516	0.220030700452362
Val	11827.8000210885	-0.461376896619301	0.196251383010865	-2.35094851073614	0.0187256248497074	0.102990936673391
iMet	18478.8987480088	0.725923353912124	0.20830013467173	3.48498744398865	0.0004921601355109	0.0108275229812398
