baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Ala	6585.08897668843	-1.26796762576344	0.224640220633215	-5.64443723474496	1.65722424125558e-08	4.55736666345285e-08
Arg	13697.1295795643	0.120855783280692	0.180327980335946	0.670199838403008	0.50273040687798	0.553003447565778
Asn	3982.5419109806	1.08184574329854	0.198252845294519	5.45689894988082	4.84521905446565e-08	1.18438687998049e-07
Asp	9746.38572270309	-0.231150196482041	0.188106026670631	-1.22882929682407	0.219135814736219	0.253736206536674
Cys	2715.19048944526	-0.397359892657088	0.215550069023758	-1.84346910421676	0.0652605486229243	0.089733254356521
Gln	7433.50068849974	0.338765173245043	0.188193149097863	1.8000930154417	0.0718459522876303	0.0929771147251687
Glu	25018.2972857812	-2.26939773470991	0.462717974384243	-4.90449444443969	9.36682724909084e-07	1.87336544981817e-06
Gly	32659.7885860831	-1.70207494358393	0.18719598685613	-9.09247560361462	9.68091875149647e-20	7.09934041776408e-19
His	4088.10986031194	-0.69060589711346	0.177559344364235	-3.88943707573503	0.000100477016019674	0.000170038027110218
Ile	3233.96310968774	1.75735531292643	0.196404379544219	8.94763811786984	3.63169400271792e-19	1.99743170149486e-18
Leu	19178.9653385847	0.0505805915145972	0.192292423979334	0.263039960014405	0.792519779622607	0.792519779622607
Lys	8135.11854425132	0.443311112901999	0.210721430275287	2.10377801784496	0.035397815183076	0.0519167956018447
Met	1651.6283126288	2.66848303170132	0.185923238495224	14.3526062330818	1.02607583448468e-46	2.25736683586629e-45
Phe	1559.56300546992	0.643785790506235	0.219259284523806	2.93618485485999	0.00332276250506909	0.00522148393653713
Pro	7414.99648029337	-0.0655845670963469	0.23609533254859	-0.277788494962514	0.781174723422987	0.792519779622607
SeC	215.490705113664	-1.7383198557746	0.332128086891359	-5.23388392726693	1.65984709003646e-07	3.65166359808021e-07
Ser	19367.9403604014	-0.347104748896651	0.203150675924452	-1.70860740343159	0.087523696369224	0.106973406673496
Thr	5520.35795396878	1.06125626964536	0.183874919584689	5.77162057795799	7.85127461688896e-09	2.46754345102224e-08
Trp	1152.71206083804	-1.44715987705275	0.210338570078954	-6.88014507519725	5.97916375311813e-12	2.63083205137198e-11
Tyr	810.073173587859	0.967602280300878	0.24230377473834	3.993343815406	6.51479967984985e-05	0.000119437994130581
Val	13433.2753433244	-1.4163312842734	0.238349443315839	-5.94224708297978	2.81141223384521e-09	1.03085115240991e-08
iMet	21879.6127241896	2.56454569779351	0.216361492050469	11.8530597727404	2.07474306433702e-32	2.28221737077072e-31
