baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Ala-AGC-11_1	275.396050057657	-0.0110826421677155	0.239482932554569	-0.0462773778886734	0.963089169817398	0.999990237428883
Ala-AGC-11_2	239.600043103111	0.0534913138570564	0.266896071291998	0.200420012172207	0.841152109545207	0.999990237428883
Ala-AGC-11_3	234.071356395456	-0.0439174068796871	0.264159106420937	-0.166253616900508	0.867957366322139	0.999990237428883
Ala-AGC-11_4	252.849975718342	0.144048447356536	0.250783609252212	0.574393389528367	0.565701625203532	0.999990237428883
Ala-AGC-11_5	247.05212200505	0.0855331019807186	0.251612791767946	0.339939402045993	0.733902163161262	0.999990237428883
Ala-AGC-11_6	253.63775718294	-0.0356670597412208	0.270113899987081	-0.132044518045634	0.894949079699437	0.999990237428883
Ala-AGC-11_7	293.183470189615	-0.125636036460393	0.246971580358964	-0.508706452288098	0.610957999051029	0.999990237428883
Ala-AGC-11_8	447.016067241044	0.0390459758567365	0.190674157574712	0.204778541326121	0.837745153268353	0.999990237428883
Ala-AGC-11_9	390.774394338212	0.0555196622456877	0.198033761195245	0.280354531018324	0.779205517735445	0.999990237428883
Ala-AGC-11_10	411.333501498814	-0.0296270738602599	0.192457237468415	-0.153941074131453	0.877656197612883	0.999990237428883
Ala-AGC-11_11	400.927008066987	0.089118832367318	0.183558347994239	0.485506833882134	0.627316866247769	0.999990237428883
Ala-AGC-11_12	381.207640904799	0.0430755263539334	0.17720172977413	0.24308750489535	0.807937610599299	0.999990237428883
Ala-AGC-11_13	370.134992683991	0.0745609881163308	0.189543987956509	0.393370367059276	0.694045952860743	0.999990237428883
Ala-AGC-11_14	352.555155081691	-0.0142082211629725	0.176873409370952	-0.0803298879888379	0.935974887839689	0.999990237428883
Ala-AGC-11_15	360.790859167456	0.0540510787726883	0.193974480081992	0.2786504634519	0.780513081641272	0.999990237428883
Ala-AGC-11_16	424.280682762459	0.0452588277966555	0.197166223165958	0.229546557569146	0.818444138770552	0.999990237428883
Ala-AGC-11_17	439.177356752725	-0.0164576291246325	0.175116320059435	-0.0939811270534165	0.925124148801975	0.999990237428883
Ala-AGC-11_18	390.102164189955	-0.0776013247102076	0.199975064677445	-0.388055004934624	0.697975328686891	0.999990237428883
Ala-AGC-11_19	366.462254411079	0.0433668348789532	0.200492888410623	0.216301112836157	0.828753041679751	0.999990237428883
Ala-AGC-11_20	386.981136109584	-0.0732653694945244	0.191807366713831	-0.381973699705881	0.702480872774003	0.999990237428883
Ala-AGC-11_21	355.56862642487	-0.00276060796453455	0.19721265152792	-0.0139981281279194	0.988831474428731	0.999990237428883
Ala-AGC-11_22	343.875951010479	-0.0431621637457876	0.185752247553308	-0.232364153404931	0.816255188441926	0.999990237428883
Ala-AGC-11_23	392.424598012554	-0.00303901833036601	0.173283499353243	-0.0175378402543158	0.9860075453251	0.999990237428883
Ala-AGC-11_24	385.814470586541	-0.095167082899854	0.191285119408539	-0.497514303225021	0.618826419044274	0.999990237428883
Ala-AGC-11_25	502.841610808577	0.0861941120438982	0.165956383511161	0.519378105380933	0.603497096396339	0.999990237428883
Ala-AGC-11_26	487.168634503033	-0.0952193453488582	0.17949845614456	-0.530474453062552	0.595783017034022	0.999990237428883
Ala-AGC-11_27	472.116126581596	0.0973045351354565	0.17559533804734	0.554140766022067	0.579482512753203	0.999990237428883
Ala-AGC-11_28	416.722837466025	0.00593647924294013	0.185310033913139	0.0320353901922156	0.974443828080429	0.999990237428883
Ala-AGC-11_29	388.092359805839	-0.120961550364095	0.187504499310404	-0.645112788274212	0.518854097127902	0.999990237428883
Ala-AGC-11_30	394.939376937587	0.0564260928264329	0.195321858852416	0.288887752543192	0.772667276388266	0.999990237428883
Ala-AGC-11_31	385.637066940219	-0.0789860549690231	0.174004751990657	-0.453930447676878	0.649878887969218	0.999990237428883
Ala-AGC-11_32	534.491516245545	-0.101820974512372	0.176983188083809	-0.575314387851096	0.565078692593943	0.999990237428883
Ala-AGC-11_33	444.522468829905	-0.035424254072895	0.198627266546775	-0.178345373667783	0.858451746921196	0.999990237428883
Ala-AGC-11_34	487.025138272444	0.0900554450883667	0.1758125373888	0.51222424990781	0.608494073214687	0.999990237428883
Ala-AGC-11_35	459.771233568588	0.0584733952231782	0.168935490039625	0.346128544152935	0.729246112601329	0.999990237428883
Ala-AGC-11_36	421.624907077871	0.154249442785399	0.182065408092512	0.847219932668493	0.396872545301474	0.999990237428883
Ala-AGC-11_37	643.523487349166	0.0146156765872201	0.167699352764865	0.0871540429122174	0.930549068736181	0.999990237428883
Ala-AGC-11_38	354.531488529669	0.0631367111304711	0.199385732004809	0.316656114234635	0.751504552081829	0.999990237428883
Ala-AGC-11_39	431.405781956355	-0.082427515140862	0.17790108323199	-0.463333407775675	0.643125403025983	0.999990237428883
