baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Ala-AGC-11_1	163.895576252016	0.0410131144442363	0.207584876760636	0.19757274751536	0.843379358802661	0.999839277896584
Ala-AGC-11_2	144.770219745998	0.159239343804164	0.23665480427616	0.67287602417884	0.501026166560674	0.999839277896584
Ala-AGC-11_3	139.787010865456	0.0476845152397862	0.27756458376079	0.171796108111839	0.86359782531292	0.999839277896584
Ala-AGC-11_4	152.38314998959	0.174156746085052	0.225168895997126	0.773449393682131	0.439256467495939	0.999839277896584
Ala-AGC-11_5	151.264338248847	0.0964578137250787	0.233175171234529	0.41367103201593	0.67911504471761	0.999839277896584
Ala-AGC-11_6	151.247240904702	-0.0807488306626157	0.229112169111222	-0.352442347239166	0.72450654821196	0.999839277896584
Ala-AGC-11_7	166.014225803941	-0.129756481344284	0.202045085710955	-0.642215478231989	0.52073328447116	0.999839277896584
Ala-AGC-11_8	260.988810736543	0.0609461846897275	0.152285758994874	0.400209350447398	0.689002328199186	0.999839277896584
Ala-AGC-11_9	225.362738880483	-0.0914031403004012	0.162150399541557	-0.56369358668756	0.57296268279002	0.999839277896584
Ala-AGC-11_10	236.72042363591	-0.227105030420439	0.157975951812109	-1.43759241717087	0.150549733692693	0.999839277896584
Ala-AGC-11_11	224.928396535339	0.0779917581667156	0.167696164345921	0.46507777009041	0.641875764679451	0.999839277896584
Ala-AGC-11_12	207.562375058595	0.017922675312854	0.165516937892111	0.10828302855951	0.913771184700273	0.999839277896584
Ala-AGC-11_13	189.769908144266	-0.0688337618840673	0.181241378813275	-0.379790544161462	0.704100902032362	0.999839277896584
Ala-AGC-11_14	191.804842006006	-0.144740124374619	0.17758476764236	-0.815048082649253	0.415044787745405	0.999839277896584
Ala-AGC-11_15	220.571546146248	-0.0534725913381976	0.168802550947363	-0.316775967176419	0.75141360119754	0.999839277896584
Ala-AGC-11_16	279.395689861267	-0.0913536944669585	0.181320254835485	-0.503825094167474	0.614384291908022	0.999839277896584
Ala-AGC-11_17	275.090879382958	-0.000783570132550464	0.154592546173173	-0.00506861522076695	0.995955847487	0.999839277896584
Ala-AGC-11_18	236.836128129308	0.0371716735496777	0.167829558371777	0.221484665218118	0.824715075508467	0.999839277896584
Ala-AGC-11_19	219.731767323425	-0.0883819298470551	0.160753319858491	-0.549798473368117	0.582457605876479	0.999839277896584
Ala-AGC-11_20	228.116751060447	-0.0139227669013569	0.167652828699977	-0.0830452251197762	0.933815579336817	0.999839277896584
Ala-AGC-11_21	201.463932856934	0.0831989810589873	0.176467312853074	0.471469643379556	0.637305392821196	0.999839277896584
