baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Ala-AGC-11_1	321.850770963212	-0.102636675255237	0.402826780198836	-0.2547910921031	0.798884455738225	0.999987683489479
Ala-AGC-11_2	297.474455109785	0.191986699444151	0.432869170644806	0.443521304966501	0.657388712588071	0.999987683489479
Ala-AGC-11_3	285.457790016049	0.302262554903339	0.430406637183568	0.702272058073361	0.482509515279592	0.999987683489479
Ala-AGC-11_4	341.084818395558	0.467238124409394	0.411389815612451	1.13575520510589	0.256059029210639	0.999987683489479
Ala-AGC-11_5	348.127035425544	0.873309553244194	0.435585693045235	2.00490871759073	0.0449728065810945	0.999987683489479
Ala-AGC-11_6	298.360053836825	0.0135769915280807	0.400090714659066	0.0339347828645565	0.972929156437439	0.999987683489479
Ala-AGC-11_7	323.024272030933	-0.238724542633374	0.39064129235306	-0.611109340734044	0.541127196426732	0.999987683489479
Ala-AGC-11_8	471.821899766056	-0.420285176059168	0.394300550071323	-1.06590055728592	0.286468597059273	0.999987683489479
Ala-AGC-11_9	411.062080851276	-0.432102173123796	0.396547693796833	-1.08966003303799	0.275862927779756	0.999987683489479
Ala-AGC-11_10	425.88178322944	-0.412165334043535	0.400865531437717	-1.02818851140753	0.303861161533597	0.999987683489479
Ala-AGC-11_11	419.614359561889	-0.366563702265066	0.396052629432415	-0.925542907745342	0.354683575238129	0.999987683489479
Ala-AGC-11_12	390.585604321761	-0.348062790337731	0.391593239452801	-0.888837587758415	0.37409037174478	0.999987683489479
Ala-AGC-11_13	385.790255219356	-0.344472516511587	0.393213027168149	-0.876045534382257	0.381005280240357	0.999987683489479
Ala-AGC-11_14	371.049310766012	-0.196474303687089	0.398214479480082	-0.493388145864536	0.621738356659691	0.999987683489479
Ala-AGC-11_15	418.561471554359	-0.0125117210726978	0.408007117968136	-0.0306654480319015	0.975536346671723	0.999987683489479
Ala-AGC-11_16	521.040002019225	0.523645892649637	0.397721875884065	1.31661325262953	0.187968294269307	0.999987683489479
Ala-AGC-11_17	531.350979244179	0.114110766276292	0.406477612347006	0.280730753207823	0.778916919234159	0.999987683489479
Ala-AGC-11_18	472.300294758235	0.173378900800811	0.402440017375227	0.430819235948785	0.666599811697617	0.999987683489479
Ala-AGC-11_19	422.902582049247	0.0428997796516449	0.403543509413819	0.106307693348755	0.915338227772909	0.999987683489479
Ala-AGC-11_20	431.921403000082	-0.0251140538379929	0.404216141780194	-0.0621302596363148	0.950459099835188	0.999987683489479
Ala-AGC-11_21	386.460275421834	-0.161152696923884	0.405975689184729	-0.396951593942748	0.691403156609361	0.999987683489479
Ala-AGC-11_22	385.553920922776	-0.00647016574873622	0.406247194881222	-0.0159266718152429	0.987292891667715	0.999987683489479
Ala-AGC-11_23	416.942715721705	-0.0273755149869735	0.395901850163118	-0.0691472267070597	0.944872429484627	0.999987683489479
Ala-AGC-11_24	414.721762358567	-0.102512482263096	0.400298652118824	-0.256090001104142	0.797881342574998	0.999987683489479
Ala-AGC-11_25	527.583455589655	-0.0692895187316188	0.393546049551627	-0.176064576967705	0.860243209640106	0.999987683489479
Ala-AGC-11_26	502.59475894126	-0.094410447512475	0.401705454083115	-0.235024061916125	0.81419005751227	0.999987683489479
Ala-AGC-11_27	492.867551439493	-0.0405532355399738	0.398385011478525	-0.101794079524902	0.918920125094676	0.999987683489479
Ala-AGC-11_28	425.66384196479	-0.0341882333799032	0.388843450245315	-0.0879228732240041	0.929937976799914	0.999987683489479
Ala-AGC-11_29	420.10221795137	0.106461336678557	0.404183558520422	0.263398484263624	0.792243458753013	0.999987683489479
Ala-AGC-11_30	424.240574400693	-0.0672333275655883	0.396813002247948	-0.169433277601064	0.865455850142922	0.999987683489479
Ala-AGC-11_31	428.315432563695	0.153584951866414	0.402153719187444	0.381906083516359	0.702531027715863	0.999987683489479
Ala-AGC-11_32	507.675623141834	-0.148617484515116	0.397847440511579	-0.373553954058403	0.708736197018708	0.999987683489479
Ala-AGC-11_33	458.939552838464	-0.181844991905758	0.392609540585716	-0.46317007894019	0.643242461445445	0.999987683489479
Ala-AGC-11_34	499.661302450836	-0.0130064919303047	0.396313660990023	-0.0328186817931369	0.97381918032027	0.999987683489479
