baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Ala-AGC-11_6	2.87184799254753	0.397243819480868	1.48666564898482	0.267204545791536	0.789311676328476	NA
Ala-AGC-11_7	3.82012551670856	-1.80852460047394	1.33257438429614	-1.35716596520741	0.174728482353272	NA
Ala-AGC-11_8	4.93592632238709	-0.353870966419331	1.00264616681143	-0.352937036147754	0.724135644413139	NA
Ala-AGC-11_9	4.2183277035459	-0.45643598435322	1.14606667403377	-0.398263028403679	0.690436310224375	NA
Ala-AGC-11_10	5.3764795683648	0.220317027286566	0.952534757658716	0.231295525454729	0.817085222621535	NA
Ala-AGC-11_11	5.63507786933863	0.21314620369067	0.917961722483872	0.232195088825629	0.816386492081837	NA
Ala-AGC-11_12	5.93069367287617	0.00221081782260745	0.896689229285372	0.00246553404502181	0.998032790444408	NA
Ala-AGC-11_13	6.08314239720855	-0.40880810974352	0.954384404504024	-0.428347432977983	0.668398190063838	NA
Ala-AGC-11_14	6.8941383500951	0.480730756121156	0.841617446102986	0.571198658425066	0.567864987524852	NA
Ala-AGC-11_15	8.54411240961343	0.190586040220895	0.742921180709969	0.256536016430117	0.797536973568767	NA
Ala-AGC-11_16	9.08786607046315	-0.823556347365559	0.768946090292207	-1.07101961732142	0.28416060903863	NA
Ala-AGC-11_17	8.88938464358494	-1.33646150082413	0.755434973841651	-1.76912844533496	0.0768724418828281	NA
Ala-AGC-11_18	8.40031182500576	-1.08087835130721	0.756645928780434	-1.42851274313916	0.153144329406631	NA
Ala-AGC-11_19	7.8706888076301	0.293202632672133	0.770591775980789	0.380490217792621	0.703581556586665	NA
Ala-AGC-11_20	9.34284080707601	0.909504727339123	0.747051794319868	1.21745872810219	0.223429730182629	NA
Ala-AGC-11_21	8.40769397810078	0.479687717084297	0.757125046118768	0.633564718989695	0.526364931811716	NA
Ala-AGC-11_22	8.42734388157067	0.163528595633174	0.751404333923723	0.217630626082834	0.82771692021781	NA
Ala-AGC-11_23	9.84793653090961	0.239722630504443	0.707476796005472	0.338841686197987	0.734728995905223	NA
Ala-AGC-11_24	8.65167873868796	0.244176748950959	0.746954625958512	0.326896360856759	0.743746273630965	NA
Ala-AGC-11_25	11.4925950530244	0.122848930733179	0.661613354263615	0.185680851121743	0.852695045762834	NA
Ala-AGC-11_26	10.7119883237878	-0.465714104964634	0.717588242791118	-0.64899907383265	0.516338974842662	NA
Ala-AGC-11_27	11.9463337743311	-1.60102796661668	0.702000551529123	-2.28066482729859	0.0225682879942324	NA
Ala-AGC-11_28	10.5640460922261	-1.2551361133178	0.750091711799818	-1.67331020137011	0.0942662452370031	NA
Ala-AGC-11_29	9.61275605287376	-0.519820610843009	0.74107606715339	-0.701440289172657	0.483028286110738	NA
Ala-AGC-11_30	9.7277891749634	-0.142455362044509	0.712925184339178	-0.199818108791532	0.841622838164864	NA
Ala-AGC-11_31	9.89891037315928	-0.197405870394428	0.71953119163309	-0.274353457765165	0.783813006499344	NA
Ala-AGC-11_32	12.4232786804365	-0.141594983444957	0.631905094851632	-0.224076344056386	0.822697899191549	NA
Ala-AGC-11_33	11.0493534368899	-0.0846382525171633	0.679547780957572	-0.124550848209521	0.90087914272157	NA
Ala-AGC-11_34	12.7375069592797	0.495106835310923	0.663101121611563	0.7466535935087	0.455272688819017	NA
Ala-AGC-11_35	14.4969979039704	0.562229038970009	0.58721363010026	0.957452297001373	0.338339012943856	NA
Ala-AGC-11_36	14.1966343690232	0.245832501925592	0.601531045274069	0.408677995686135	0.682775984008797	NA
Ala-AGC-11_37	17.2739469184566	-0.758108987855266	0.589277870800668	-1.28650510297494	0.198266839045295	NA
Ala-AGC-11_38	12.9933534128353	0.659504896450825	0.618378800786558	1.06650631556573	0.286194825291811	NA
Ala-AGC-11_39	14.0863413047451	0.57772383539058	0.604948543043035	0.954996655557664	0.339579388261045	NA
Ala-AGC-11_40	16.8003281210458	-1.02627079859033	0.587764228979125	-1.74605862009133	0.0808007662191256	NA
Ala-AGC-11_41	17.4059773108157	-0.915841197239236	0.56510335015712	-1.62066141880879	0.105090272214837	NA
Ala-AGC-11_42	16.709213769059	-0.894112857357424	0.567564039298169	-1.57535149419095	0.115175334044195	NA
Ala-AGC-11_43	15.5495523993704	0.4786643064668	0.595856796532566	0.803321048366425	0.421789195208915	NA
Ala-AGC-11_44	19.4667581694102	0.233395583284745	0.521161980662492	0.44783693351548	0.654270886267863	NA
Ala-AGC-11_45	17.8579621170264	0.442963100998038	0.552039218833628	0.802412375580758	0.422314456698576	NA
Ala-AGC-11_46	20.3761484431508	-0.40969045716031	0.529338893767031	-0.773966285085827	0.438950729187741	NA
Ala-AGC-11_47	19.9640504168936	-0.13557001239044	0.512459437122837	-0.264547791629299	0.791357843648826	NA
Ala-AGC-11_48	24.6281447443658	-0.0733709938430973	0.459370652351633	-0.159720681910115	0.873101108247834	NA
Ala-AGC-11_49	22.0899298109782	0.00605617090061824	0.487589126426739	0.0124206438830998	0.99009001481729	NA
Ala-AGC-11_50	29.1783359932892	-0.597260867222608	0.418775191008757	-1.42620881094677	0.153808077084377	NA
Ala-AGC-11_51	21.7821349324216	0.706486714555151	0.518702895092629	1.36202577860875	0.173189749804507	NA
Ala-AGC-11_52	21.5410441015052	0.534505569211877	0.546070450319381	0.978821631713015	0.327668119456809	NA
Ala-AGC-11_53	23.7524455620155	0.624262664066259	0.516156027253519	1.20944565422975	0.226491677963259	NA
Ala-AGC-11_54	43.2215436728031	0.0678271059434775	0.35953557238925	0.188652003173818	0.850365571903541	NA
Ala-AGC-11_55	34.9699685040789	0.247034383779804	0.392802350295421	0.628902509351111	0.529412883147804	NA
Ala-AGC-11_56	39.9876963193894	0.080261420897224	0.373091972987354	0.215125027361402	0.829669841671106	NA
Ala-AGC-11_57	44.8713932503856	-0.740563544907101	0.439322040392209	-1.68569631572765	0.0918543068758433	NA
Ala-AGC-11_58	43.9375623418622	-0.42406642483617	0.39540530628067	-1.07248541711566	0.283502060493854	NA
Ala-AGC-11_59	25.1214218147437	0.165948617530123	0.502384590967193	0.330321869965475	0.741156769657296	NA
Ala-AGC-11_60	23.6119769873718	0.155173603374377	0.55137194738309	0.281431806806383	0.778379225231659	NA
Ala-AGC-11_61	22.9528274474995	-0.0916351289312092	0.580857612134231	-0.157758333569076	0.874647232418822	NA
Ala-AGC-11_62	22.0421363502857	0.128792354068208	0.637029088996555	0.202176566647971	0.839778691948825	NA
Ala-AGC-11_63	23.985126044782	0.417819176772903	0.528203257101386	0.791019690158225	0.428932501462507	NA
Ala-AGC-11_64	38.5316112190278	-0.899078719352968	0.398719134252473	-2.25491741458202	0.0241385130177443	NA
Ala-AGC-11_65	23.4732956691622	-0.526869462969543	0.597486942341096	-0.881809167084293	0.377880013483005	NA
Ala-AGC-11_66	25.1602230138279	0.14560329737798	0.508096092941468	0.286566457409767	0.774444300779296	NA
Ala-AGC-11_67	25.7057668299904	-0.00895736770034712	0.49287789624464	-0.0181736039871042	0.985500360125495	NA
Ala-AGC-11_68	27.3372911371557	0.0570143294060177	0.463819115076432	0.122923630253191	0.902167573294914	NA
Ala-AGC-11_69	26.38702453704	0.327365985193718	0.470834615373582	0.695288694808411	0.486874397665739	NA
Ala-AGC-11_70	25.7366788722332	0.272109288149912	0.489659110553453	0.555711682444451	0.5784079689777	NA
Ala-AGC-11_71	25.493017935026	0.418908353788561	0.480161563831084	0.872432083997312	0.382972703846256	NA
Ala-AGC-11_72	25.274966237833	0.879081339732782	0.501722039887222	1.75212821013481	0.0797517644817214	NA
