baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Ala-AGC-11_1	485.956364403438	-0.135501980280827	0.188761392478938	-0.717847958744773	0.472851038827994	0.999820115538779
Ala-AGC-11_2	436.523085383244	-0.177306450351102	0.218896440854566	-0.810001522450078	0.417939300734144	0.999820115538779
Ala-AGC-11_3	422.462646679576	0.0030550729960941	0.219518730668425	0.013917140404336	0.988896086988903	0.999820115538779
Ala-AGC-11_4	476.807720446317	0.0182420848471342	0.202016563774531	0.090299946233587	0.928048862877471	0.999820115538779
Ala-AGC-11_5	481.235713309155	0.00520371452910779	0.207989120135207	0.0250191669916437	0.980039675344809	0.999820115538779
Ala-AGC-11_6	442.360706334923	-0.00792734923781567	0.211264346646373	-0.0375233652230252	0.970067710509209	0.999820115538779
Ala-AGC-11_7	489.886013141101	0.0588661476991479	0.19248780053083	0.305817550706127	0.759743564752397	0.999820115538779
Ala-AGC-11_8	772.297642284545	-0.0304224608539031	0.176089335925486	-0.172767196230309	0.862834422870433	0.999820115538779
Ala-AGC-11_9	667.446648000804	-0.0119390693578978	0.181469472069056	-0.0657910623851626	0.947544172003824	0.999820115538779
Ala-AGC-11_10	702.313827192708	-0.0466501884265484	0.183282863335876	-0.254525641827514	0.799089496898311	0.999820115538779
Ala-AGC-11_11	671.277917900523	0.0654353499098087	0.18918573281735	0.345878882806578	0.729433739375372	0.999820115538779
Ala-AGC-11_12	603.75272174054	0.0153066106612548	0.189960223099464	0.0805779779129877	0.935777580324007	0.999820115538779
Ala-AGC-11_13	569.449115495774	0.0346855484320594	0.185395430510702	0.187089554130393	0.85159041815166	0.999820115538779
Ala-AGC-11_14	559.186451518371	-0.0703303415359654	0.186543451606841	-0.377018549459423	0.706159819909859	0.999820115538779
Ala-AGC-11_15	671.695054433893	0.0116577901920799	0.177837905669745	0.065552898568931	0.947733789901214	0.999820115538779
Ala-AGC-11_16	848.036371115236	-0.0477649607848422	0.182669255688717	-0.261483305467875	0.793719822117236	0.999820115538779
Ala-AGC-11_17	838.464195213974	-0.033693707918977	0.166849003146403	-0.201941319897561	0.839962598858128	0.999820115538779
Ala-AGC-11_18	729.212495744996	-0.125691958483237	0.183074750524595	-0.686560861741288	0.49235949909772	0.999820115538779
Ala-AGC-11_19	665.298946438211	0.0662224976757181	0.184933320202298	0.358088513218048	0.720277074993108	0.999820115538779
Ala-AGC-11_20	679.536898310007	-0.0539037269037281	0.179206556667078	-0.300791041947579	0.763573839754425	0.999820115538779
Ala-AGC-11_21	590.405068380163	0.0312365157042866	0.207210509438119	0.150747738563014	0.880174713580959	0.999820115538779
Ala-AGC-11_22	575.761286733003	-0.000994103338841824	0.200199069407508	-0.00496557422461496	0.996038061272205	0.999820115538779
Ala-AGC-11_23	637.123809228582	0.0211721975971924	0.178525696245542	0.118594678763064	0.90559648133154	0.999820115538779
Ala-AGC-11_24	628.198681380639	-0.0812615241170584	0.174695091454865	-0.465162034263874	0.641815424562523	0.999820115538779
Ala-AGC-11_25	781.715240906376	-0.113146672825447	0.187705451894397	-0.602788420280424	0.546649451107734	0.999820115538779
Ala-AGC-11_26	762.609844351434	0.0285873107420938	0.168320984132134	0.1698380679598	0.865137487916819	0.999820115538779
Ala-AGC-11_27	750.141382110996	-0.0832513679559425	0.175430658115154	-0.474554270333386	0.635104707302134	0.999820115538779
Ala-AGC-11_28	657.962593041672	0.0539798367186674	0.17541079980499	0.307733826986016	0.758284877757607	0.999820115538779
Ala-AGC-11_29	600.026359691809	-0.00425669714977057	0.185954676201222	-0.0228910465535397	0.981737182341018	0.999820115538779
Ala-AGC-11_30	604.96182636149	-0.0219619968574903	0.205542093010018	-0.106849144794978	0.914908658698929	0.999820115538779
Ala-AGC-11_31	604.764039082231	-0.00062438613716846	0.197020411892149	-0.00316914441083524	0.997471392836308	0.999820115538779
Ala-AGC-11_32	816.61963362065	0.0367717089957978	0.163950355272781	0.224285631675619	0.822535055700415	0.999820115538779
Ala-AGC-11_33	697.541819214493	0.0419724273393497	0.174823566032443	0.240084493709279	0.810264754937446	0.999820115538779
Ala-AGC-11_34	753.810523344166	0.133953707019417	0.182335849283113	0.734653703844197	0.462550422311474	0.999820115538779
Ala-AGC-11_35	687.094369293755	-0.0474746840026598	0.169032806521574	-0.280860768862644	0.778817191842314	0.999820115538779
Ala-AGC-11_36	679.427220390361	0.0236966850290723	0.172995919734293	0.136978288652521	0.891047956477314	0.999820115538779
Ala-AGC-11_37	982.474197071211	-0.0578983845052831	0.180865196516746	-0.320118992599675	0.748878128615595	0.999820115538779
Ala-AGC-11_38	549.166886561106	-0.0475194721207715	0.208718105205775	-0.227672975825082	0.819900482887724	0.999820115538779
Ala-AGC-11_39	610.256303594379	-0.0377747479706281	0.195031574531694	-0.193685294605922	0.846422307005228	0.999820115538779
Ala-AGC-11_40	777.083262335227	0.0049405529147408	0.171838731081286	0.0287511021738385	0.977063099552194	0.999820115538779
Ala-AGC-11_41	777.754857525193	-0.190737485287874	0.204788444852069	-0.931387927798636	0.351652933291234	0.999820115538779
Ala-AGC-11_42	741.361329119225	-0.144316454268235	0.199275744709687	-0.72420481719178	0.46894000160466	0.999820115538779
Ala-AGC-11_43	551.769822077275	-0.0671275377500954	0.191779837344395	-0.350023958094973	0.72632071763641	0.999820115538779
Ala-AGC-11_44	781.345131105196	-0.140897930587071	0.176039439836097	-0.800377067310909	0.42349236368969	0.999820115538779
Ala-AGC-11_45	665.140272520796	0.0685382874737877	0.180809886764524	0.379062719966458	0.704641289206914	0.999820115538779
Ala-AGC-11_46	845.568606404959	0.0578159896052697	0.184334714481814	0.313646779814627	0.753789325871759	0.999820115538779
Ala-AGC-11_47	674.12248984749	-0.0413221278158808	0.207802146990922	-0.19885322848799	0.842377557026776	0.999820115538779
Ala-AGC-11_48	680.440140502025	-0.100341811946893	0.183489698162286	-0.546852564213966	0.584480027137627	0.999820115538779
Ala-AGC-11_49	525.369721446413	0.0864216101873009	0.202705664842056	0.426340380051237	0.669859838030544	0.999820115538779
Ala-AGC-11_50	763.275874187567	-0.0661158741659997	0.178368228541713	-0.370670688981688	0.710882824330365	0.999820115538779
Ala-AGC-11_51	439.099240731259	0.159719153380581	0.195707740105286	0.816110560035365	0.41443690474262	0.999820115538779
Ala-AGC-11_52	405.928838876154	0.365425023387414	0.241121946850715	1.51551954585726	0.129640884284771	0.999820115538779
Ala-AGC-11_53	431.588071390932	0.0642953503234546	0.244856546376432	0.262583750669299	0.792871425766851	0.999820115538779
Ala-AGC-11_54	918.448340641092	-0.033208224917415	0.189365804273723	-0.175365478708149	0.860792464218023	0.999820115538779
Ala-AGC-11_55	676.560771957212	-0.038280337904429	0.182280280408594	-0.210008113980409	0.833661340210612	0.999820115538779
Ala-AGC-11_56	804.148227870426	-0.0423116275632738	0.179266992212585	-0.236025757118177	0.813412683442988	0.999820115538779
Ala-AGC-11_57	910.460584043015	0.0336184940120781	0.192154600070855	0.174955447330856	0.861114641427263	0.999820115538779
Ala-AGC-11_58	881.199643399871	0.036309219959671	0.205270743324561	0.176884534890884	0.85959908644052	0.999820115538779
Ala-AGC-11_59	479.331622877032	-0.0937786592534765	0.216887929886468	-0.432383025199078	0.665463053325019	0.999820115538779
Ala-AGC-11_60	432.219164880313	0.120728847839072	0.22847469757447	0.528412332397207	0.597213179813028	0.999820115538779
Ala-AGC-11_61	401.584795409026	0.064306081432945	0.241416415527042	0.266369962011726	0.789954296626973	0.999820115538779
Ala-AGC-11_62	414.93141596331	-0.0220790266658756	0.225653153910492	-0.0978449726194986	0.92205539570229	0.999820115538779
Ala-AGC-11_63	444.310341836929	0.053509394256219	0.203466201200233	0.262989105515171	0.79255897618011	0.999820115538779
Ala-AGC-11_64	883.065103829054	-0.239389338732055	0.182912088445826	-1.3087671830009	0.190613226439518	0.999820115538779
Ala-AGC-11_65	419.330528211355	0.118407915063909	0.217981790762524	0.543200946508907	0.586991454975322	0.999820115538779
Ala-AGC-11_66	486.256313016027	0.107936372939559	0.199842623341938	0.54010686576545	0.589123336078644	0.999820115538779
Ala-AGC-11_67	499.774188346827	0.179566503020491	0.184764041623675	0.97186931744127	0.331115565724788	0.999820115538779
Ala-AGC-11_68	575.864694168961	0.0654141045411054	0.186878243949069	0.350035954741383	0.726311714479288	0.999820115538779
Ala-AGC-11_69	501.07979410368	0.163765871404849	0.19296825494538	0.848667421753923	0.396066378998794	0.999820115538779
Ala-AGC-11_70	490.914261926944	0.0714402848039049	0.219860873731709	0.324934053027924	0.745230983512447	0.999820115538779
Ala-AGC-11_71	494.268236242508	-0.00364555246999081	0.200807213181109	-0.0181544896333125	0.985515608657573	0.999820115538779
Ala-AGC-11_72	470.395159985594	-0.0109126138419051	0.193970760916833	-0.0562590660072939	0.955135427753814	0.999820115538779
Ala-AGC-11_73	510.739556847767	-0.017336460141781	0.197204693776514	-0.0879109914159949	0.929947420543289	0.999820115538779
Ala-AGC-11_C1	411.098663347589	0.0577390880532334	0.215186568104627	0.268321060007611	0.78845219685402	0.999820115538779
Ala-AGC-11_C2	401.764867652659	-0.0234268887907325	0.242069195638392	-0.0967776537157091	0.922902970371006	0.999820115538779
Ala-AGC-11_A	409.408538278145	0.017993716939237	0.23128754204835	0.0777980378012555	0.937988707327783	0.999820115538779
Ala-AGC-2_1	3039.71869271342	-0.0523301427409513	0.162586366399221	-0.321860583392692	0.74755831535623	0.999820115538779
Ala-AGC-2_2	2719.76359723749	-0.154298924021159	0.152300342058553	-1.01312263607286	0.311001587378283	0.999820115538779
Ala-AGC-2_3	2624.93068399164	-0.0913625338470017	0.154249657672807	-0.592302992599175	0.553647712318562	0.999820115538779
Ala-AGC-2_4	2814.2228649531	-0.163861740493293	0.156814847196811	-1.04493766644199	0.296051779698465	0.999820115538779
Ala-AGC-2_5	3839.30472215946	-0.121359165694393	0.163177737035625	-0.743723794060814	0.457043591430333	0.999820115538779
Ala-AGC-2_6	2722.43068110816	0.0917291268333614	0.15799734305465	0.580573856875764	0.561527696154591	0.999820115538779
Ala-AGC-2_7	3094.86354958334	0.0112530394980743	0.173643726114774	0.0648053330221462	0.94832899524108	0.999820115538779
Ala-AGC-2_8	4427.94765512654	-0.00794681605101208	0.164417516174065	-0.0483331474403189	0.961450737577641	0.999820115538779
Ala-AGC-2_9	4824.61640654781	-0.106444173471122	0.159074679674683	-0.669145923718386	0.503402397590289	0.999820115538779
Ala-AGC-2_10	4587.67056997857	0.0270000528072888	0.162354054145191	0.166303533037389	0.867918085802996	0.999820115538779
Ala-AGC-2_11	4326.65907392308	0.0180859656900908	0.161728230480561	0.111829367305572	0.910958701825667	0.999820115538779
Ala-AGC-2_12	4020.19370215993	0.023312147053403	0.162052012511777	0.14385595520888	0.885614216480847	0.999820115538779
Ala-AGC-2_13	4066.5889381936	-0.0139756049521635	0.160671047124284	-0.0869827215438071	0.930685246257001	0.999820115538779
Ala-AGC-2_14	4488.18166081263	-0.016485505377774	0.164242954730842	-0.100372679027787	0.92004845918704	0.999820115538779
Ala-AGC-2_15	4028.55050424316	-0.0347701215916288	0.157868363129186	-0.220247558804267	0.825678359297861	0.999820115538779
Ala-AGC-2_16	4811.7552682335	-0.100241249289842	0.164827285283961	-0.608159317294754	0.543081813937826	0.999820115538779
