baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Ala-AGC-11_1	451.669820182331	-0.0872923462040523	0.307244351797118	-0.284113754064042	0.776323206890595	0.999693751068536
Ala-AGC-11_2	408.334155162097	0.0416871670187244	0.313318841421684	0.133050303740333	0.894153597477925	0.999693751068536
Ala-AGC-11_3	388.625965626276	-0.154365265565076	0.359611681893218	-0.429255425609095	0.667737351520046	0.999693751068536
Ala-AGC-11_4	440.565505250547	-0.0560443030998051	0.310580208419936	-0.180450336436208	0.856799040080519	0.999693751068536
Ala-AGC-11_5	444.500132131139	-0.0675818752397628	0.307344764744007	-0.21988946288398	0.825957242887082	0.999693751068536
Ala-AGC-11_6	408.884868183823	-0.0997522160673214	0.329348056939276	-0.302877803483484	0.761982987577513	0.999693751068536
Ala-AGC-11_7	448.59854087269	-0.0841960588667517	0.296639092308273	-0.283833321534215	0.776538117316993	0.999693751068536
Ala-AGC-11_8	696.318662082874	-0.233791267046113	0.296686765712468	-0.78800706355972	0.430692574208466	0.999693751068536
Ala-AGC-11_9	604.525597391596	-0.216586230803283	0.300450479009589	-0.720871644196547	0.47098849046584	0.999693751068536
Ala-AGC-11_10	638.848809641307	-0.20805949748762	0.294783211719522	-0.705805111064406	0.480309343172246	0.999693751068536
Ala-AGC-11_11	621.111346605092	0.0712165196594471	0.30378614918093	0.234429778485495	0.814651342769752	0.999693751068536
Ala-AGC-11_12	554.917638490171	-0.0420617726426661	0.318556219884872	-0.132038773745706	0.894953623206504	0.999693751068536
Ala-AGC-11_13	519.620876712817	-0.0220013696793751	0.305584266168422	-0.071997717537097	0.942603724280509	0.999693751068536
Ala-AGC-11_14	514.446348054635	-0.146008755127333	0.306989532747423	-0.475614767124528	0.63434885294426	0.999693751068536
Ala-AGC-11_15	614.743880003964	-0.0589880022014454	0.309959746311094	-0.190308589755527	0.84906732300543	0.999693751068536
Ala-AGC-11_16	772.568912792889	-0.206431904440988	0.298341215476361	-0.691932236420566	0.488979885165397	0.999693751068536
Ala-AGC-11_17	760.199594230974	-0.125080678391508	0.303642952560265	-0.411933415008809	0.680388228073316	0.999693751068536
Ala-AGC-11_18	663.449348214873	-0.297194784475238	0.312279546428782	-0.951694684695003	0.341251845831714	0.999693751068536
Ala-AGC-11_19	605.536562907579	-0.0638758365692328	0.299913838584291	-0.212980624271129	0.831342075563161	0.999693751068536
Ala-AGC-11_20	622.302821465231	-0.174638076922849	0.296935591312185	-0.588134538372807	0.556441992003952	0.999693751068536
Ala-AGC-11_21	552.01507728577	0.1242072136621	0.303883923481981	0.408732427299549	0.682736033804489	0.999693751068536
Ala-AGC-11_22	529.90071443919	-0.0348952715207619	0.282002934731154	-0.123740809839547	0.901520498374545	0.999693751068536
Ala-AGC-11_23	583.092399570072	-0.0588274650446623	0.301382384133572	-0.195192115205347	0.845242551498806	0.999693751068536
Ala-AGC-11_24	583.855143704822	-0.0346408006667858	0.294482399772691	-0.117632838816597	0.906358583968163	0.999693751068536
Ala-AGC-11_25	723.950799119514	-0.0308992068212873	0.295960010656213	-0.10440331703184	0.916849290459062	0.999693751068536
Ala-AGC-11_26	699.607077709624	0.037770926933162	0.297654497447296	0.126895199827612	0.89902334591199	0.999693751068536
Ala-AGC-11_27	693.660566413083	0.0399130478544866	0.298618701775715	0.133658902195832	0.893672304778956	0.999693751068536
Ala-AGC-11_28	602.099628153173	0.000114824756118459	0.299158261279328	0.0003838261247656	0.999693751068536	0.999693751068536
Ala-AGC-11_29	546.085503994107	-0.232904756471683	0.293824283557195	-0.792666806337492	0.427971974543438	0.999693751068536
Ala-AGC-11_30	561.738329659753	-0.0401763933954139	0.316213821611624	-0.127054513906602	0.898897252255976	0.999693751068536
Ala-AGC-11_31	558.234358435489	0.0132719656981685	0.295382880636112	0.0449313977492098	0.964161990323986	0.999693751068536
Ala-AGC-11_32	740.688311589242	-0.0495215150571931	0.300342324194032	-0.164883571405009	0.869035623527829	0.999693751068536
Ala-AGC-11_33	628.614012604542	-0.295046447928246	0.294877264189762	-1.00057374290605	0.317032929541728	0.999693751068536
Ala-AGC-11_34	692.440260631678	0.0833030452632449	0.310025563805612	0.268697343021289	0.788162596581237	0.999693751068536
Ala-AGC-11_35	624.864532907185	-0.168099015260189	0.297367507636885	-0.565290460265935	0.571876216323111	0.999693751068536
Ala-AGC-11_36	633.498569351919	0.0700854259779837	0.295400409689474	0.23725568306306	0.812458440389742	0.999693751068536
