baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Ala-AGC-11_1	426.213653416479	0.0301874143958545	0.304815050950631	0.0990351831437085	0.921110335297376	0.999757714118039
Ala-AGC-11_2	363.32315782158	0.0330875676368472	0.347082420430668	0.0953305776644964	0.924052255783111	0.999757714118039
Ala-AGC-11_3	365.960254120842	0.294370483359278	0.36827964933856	0.799312380925678	0.424109301607744	0.999757714118039
Ala-AGC-11_4	419.885424118858	0.144035797650084	0.331295155497849	0.434765782897236	0.663732443949007	0.999757714118039
Ala-AGC-11_5	434.495914243994	0.110592198205872	0.309787076724382	0.356994227697452	0.721096127034734	0.999757714118039
Ala-AGC-11_6	410.281752038131	-0.0526009312571435	0.305817784326964	-0.17200089057249	0.863436828857814	0.999757714118039
Ala-AGC-11_7	452.586373967171	-0.0513930325214789	0.295284582017389	-0.174045770254447	0.86182949166149	0.999757714118039
Ala-AGC-11_8	704.130622035314	-0.0428783891687599	0.260828967260676	-0.164392742183067	0.869421976747045	0.999757714118039
Ala-AGC-11_9	635.798515541236	-0.112162654355335	0.270207287369728	-0.415098554325301	0.678069757717119	0.999757714118039
Ala-AGC-11_10	691.58575285607	0.0217752424557054	0.264652037639029	0.0822787636549607	0.93442504130173	0.999757714118039
Ala-AGC-11_11	642.815856446865	-0.0152734814192359	0.278423852102718	-0.0548569431242589	0.956252434604202	0.999757714118039
Ala-AGC-11_12	585.695300488021	-0.000892508905179039	0.282477277212236	-0.00315957769767252	0.997479025930822	0.999757714118039
Ala-AGC-11_13	564.124080742843	0.0678801281598173	0.290456516990949	0.233701515335366	0.81521671126118	0.999757714118039
Ala-AGC-11_14	547.794025653787	-0.023587077481707	0.286188495289567	-0.0824179793036107	0.934314339271502	0.999757714118039
Ala-AGC-11_15	660.33822441761	-0.124477873218381	0.268190228781428	-0.464140225331734	0.642547283711097	0.999757714118039
Ala-AGC-11_16	836.734507013523	0.0446474912687176	0.265780390692783	0.167986400924235	0.86659397753686	0.999757714118039
Ala-AGC-11_17	847.622450770007	-0.269189945020718	0.257618190109992	-1.04491823696838	0.296060760261747	0.999757714118039
Ala-AGC-11_18	731.676801158556	-0.152990275840492	0.267820528243093	-0.571241782114728	0.567835759299399	0.999757714118039
Ala-AGC-11_19	649.861827935845	0.102608504896715	0.27254377711259	0.376484489881883	0.706556744051935	0.999757714118039
Ala-AGC-11_20	689.387201560419	-0.141184904324422	0.266581589983826	-0.529612357451195	0.59638072471218	0.999757714118039
Ala-AGC-11_21	600.714585366347	0.126348069039174	0.282489816364424	0.447265925070301	0.654683066823531	0.999757714118039
Ala-AGC-11_22	593.503989474347	-0.0273387589899936	0.279047111027148	-0.0979718402722825	0.921954653977871	0.999757714118039
Ala-AGC-11_23	652.168847064254	-0.0296135184936193	0.273360893546978	-0.108331217788217	0.913732960112938	0.999757714118039
Ala-AGC-11_24	650.694017981385	-0.0195456387888073	0.271627345993408	-0.071957551686573	0.94263568908387	0.999757714118039
Ala-AGC-11_25	794.724509529052	-0.0436624311306615	0.264084442109704	-0.165335113200359	0.868680222776344	0.999757714118039
Ala-AGC-11_26	768.965787751789	0.0536853662307698	0.266676969401237	0.201312345611652	0.840454349772482	0.999757714118039
Ala-AGC-11_27	767.000658593922	-0.115728441235974	0.265513257509722	-0.435866902923807	0.662933299598073	0.999757714118039
Ala-AGC-11_28	672.636125150998	0.00227764076306571	0.274281992592538	0.00830401128975783	0.993374433745348	0.999757714118039
Ala-AGC-11_29	633.258396364019	-0.228135967757562	0.282311996664883	-0.80809873633663	0.419033745013384	0.999757714118039
Ala-AGC-11_30	631.114749952128	0.0824694168315892	0.278565065072524	0.296050823207563	0.767191268746479	0.999757714118039
Ala-AGC-11_31	639.925465497021	-0.0512393729205677	0.272376381249438	-0.18811973595333	0.850782790240845	0.999757714118039
