baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Ala-AGC-11_1	158.177404657434	-0.0131653731911158	0.243688661699809	-0.0540253826307837	0.956914941354364	0.999793830314136
Ala-AGC-11_2	141.831341474372	0.495412833065284	0.278853346764951	1.77660709047496	0.0756329082269706	0.999793830314136
Ala-AGC-11_3	135.270837737816	0.195506794449814	0.316543530776161	0.617630042763578	0.536819236191819	0.999793830314136
Ala-AGC-11_4	148.692020533246	0.22485754460386	0.268823351061903	0.836450939680761	0.402901265650212	0.999793830314136
Ala-AGC-11_5	148.032559119589	0.0615022469136314	0.277068238864059	0.221975088757131	0.824333275874824	0.999793830314136
Ala-AGC-11_6	148.577041811071	-0.0869652452033451	0.280537362684869	-0.309995233330236	0.756564581185577	0.999793830314136
Ala-AGC-11_7	163.771566636369	-0.161834063823754	0.259015360130365	-0.624804890884855	0.532099120296985	0.999793830314136
Ala-AGC-11_8	254.343739855821	-0.0982366430253472	0.224856858215563	-0.436885242482445	0.662194574935738	0.999793830314136
Ala-AGC-11_9	221.565351508532	-0.204172448221537	0.228655526603698	-0.892925927722734	0.371896841211339	0.999793830314136
Ala-AGC-11_10	237.72122342967	-0.301554771179985	0.225547918889514	-1.33698760185725	0.181226683849573	0.999793830314136
Ala-AGC-11_11	231.470284345238	0.221412209784542	0.215932232390758	1.02537822785006	0.305184757182227	0.999793830314136
Ala-AGC-11_12	212.169234482915	0.0206672908707755	0.220749721956982	0.0936231796242216	0.925408495809525	0.999793830314136
Ala-AGC-11_13	198.598297921225	0.264269255918727	0.249879902008688	1.05758507904945	0.290244647981856	0.999793830314136
Ala-AGC-11_14	196.945535747169	-0.11145251285075	0.225511035340445	-0.494221990877275	0.621149410687321	0.999793830314136
Ala-AGC-11_15	225.447519317013	0.0825630048931905	0.214501246570335	0.384906876828421	0.70030641074281	0.999793830314136
Ala-AGC-11_16	282.94253264378	-0.161920077652662	0.225587526071816	-0.717770527795561	0.472898788402388	0.999793830314136
Ala-AGC-11_17	276.177833676532	-0.0916815614343588	0.218512907061402	-0.419570462300409	0.674799270169449	0.999793830314136
