baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Ala-AGC-11_1	487.251812251568	-0.13310600679032	0.214821854801715	-0.619611104806723	0.535513853921164	0.999937427384519
Ala-AGC-11_2	437.950439917462	-0.175872863229581	0.24036683989445	-0.731685216258658	0.464360721884668	0.999937427384519
Ala-AGC-11_3	426.035474284725	0.0121594863029611	0.243445310013771	0.0499475069052399	0.96016421948641	0.999937427384519
Ala-AGC-11_4	483.668418122371	0.0291599472739219	0.22764929506722	0.128091533361927	0.898076536252436	0.999937427384519
Ala-AGC-11_5	494.155798424639	0.00472612000248208	0.232946942378724	0.0202883968092544	0.983813311888255	0.999937427384519
Ala-AGC-11_6	465.252423947941	-0.0338807206427881	0.236826122037697	-0.143061586075353	0.886241542686201	0.999937427384519
Ala-AGC-11_7	520.07639131173	0.0903446997483516	0.216971553953452	0.416389605467515	0.677124933379209	0.999937427384519
Ala-AGC-11_8	820.302955286126	-0.00904155099378406	0.203395747120891	-0.0444529992478657	0.964543316079636	0.999937427384519
Ala-AGC-11_9	714.152156148265	-0.0285033029832659	0.20669132864586	-0.137902751750669	0.890317275606873	0.999937427384519
Ala-AGC-11_10	760.170083800374	-0.0439389607813361	0.210247195849836	-0.208987142985339	0.834458275423741	0.999937427384519
Ala-AGC-11_11	743.873413769765	0.0633104377403982	0.213452428833118	0.296602095776084	0.766770310640894	0.999937427384519
Ala-AGC-11_12	682.107086876521	0.0452476044029202	0.219656514918848	0.205992544403415	0.836796735125106	0.999937427384519
Ala-AGC-11_13	643.412131079745	0.0547750208589628	0.217055737211937	0.252354632789455	0.800766963308543	0.999937427384519
Ala-AGC-11_14	628.998481471148	-0.0376091608193199	0.209170859008144	-0.179801149154604	0.857308681425572	0.999937427384519
Ala-AGC-11_15	758.494969715141	0.0408578178882117	0.19955814334968	0.2047414212339	0.837774156397177	0.999937427384519
Ala-AGC-11_16	970.971358381944	-0.0157731572791542	0.206097412021304	-0.0765325344188394	0.938995431145952	0.999937427384519
Ala-AGC-11_17	959.36645790731	-0.0497411437514181	0.194048192335899	-0.256333971229764	0.797692968049893	0.999937427384519
Ala-AGC-11_18	836.131287451296	-0.108585062378353	0.209440152194892	-0.518453893584409	0.604141620987127	0.999937427384519
Ala-AGC-11_19	764.313721620853	0.0888802566404297	0.210217640310683	0.422801133668291	0.672440360469179	0.999937427384519
Ala-AGC-11_20	778.052439342063	-0.0235824217210286	0.208873107164458	-0.112903101989385	0.910107377026354	0.999937427384519
Ala-AGC-11_21	678.618162877875	0.0446754815380634	0.223366102490147	0.200010122574593	0.84147266441213	0.999937427384519
Ala-AGC-11_22	667.523672362216	0.00678941904689514	0.217289748386798	0.0312459243811598	0.97507341541736	0.999937427384519
Ala-AGC-11_23	743.344438508521	0.00986479514410657	0.206395190413876	0.0477956638637029	0.961879092344257	0.999937427384519
Ala-AGC-11_24	734.957271572196	-0.0629468007116771	0.200733358775109	-0.313584155099	0.75383689534966	0.999937427384519
Ala-AGC-11_25	915.736909655226	-0.113876385996249	0.212725119375701	-0.53532176327107	0.592427379744884	0.999937427384519
Ala-AGC-11_26	896.202799655689	0.0123519172789534	0.189684966590787	0.0651180612831618	0.948080000128013	0.999937427384519
Ala-AGC-11_27	879.004828336135	-0.0826943883760534	0.203044007171334	-0.407273228735452	0.683807322996826	0.999937427384519
Ala-AGC-11_28	771.861264268389	0.0283200152304057	0.197708178152806	0.143241496102997	0.886099458556667	0.999937427384519
Ala-AGC-11_29	705.414897475296	0.00494688654801236	0.20898528558755	0.0236709801558731	0.981115053998394	0.999937427384519
Ala-AGC-11_30	715.988446761889	-0.026147243761577	0.222539436298395	-0.117494877296791	0.906467903253152	0.999937427384519
Ala-AGC-11_31	716.579750640113	-0.0638225295416492	0.22177488206182	-0.287780694316223	0.773514616208356	0.999937427384519
Ala-AGC-11_32	971.203826397685	0.0391161065669751	0.18421477121302	0.21233968540852	0.831842036782709	0.999937427384519
Ala-AGC-11_33	832.916202490568	0.0190491596186065	0.194020021960526	0.0981814115168076	0.921788242603083	0.999937427384519
